"number", "method" , AMD , AMD , AMD , AMD , Intel , Intel , Intel , Intel , Intel , Intel
,  , Ahtlon , X6 , Ryzen , Ryzen , Core2 , i3 , i5 , i5 , i7 , i7
"number", "method" , 200GE , 1090T , 3600 , 1700X , Q9300 , 6100 , 3570K , 7400 , 4790 , 860
1, "mp_reference", 8.23, 10.62, 6.03, 6.41, 23.41, 5.44, 7.45, 2.561, 1.588, 6.94
2, "mp_inv_jk_O2", 1.034, 1.067, 0.777, 0.868, 1.648, 1.2, 0.77, 1.324, 0.574, 3.111
3, "mp_inv_jk", 0.192, 0.51, 0.054, 0.118, 0.879, 0.157, 0.193, 0.115, 0.093, 0.562
4, "mp_inv_jk_sse", 0.712, 2.032, 0.528, 0.551, 3.332, 0.422, 0.5, 0.439, 0.41, 1.596
5, "mp_inv_jk_avx", 0.202,"N/A", 0.064, 0.122,"N/A", 0.176, 0.212, 0.134, 0.11,"N/A"
6, "mp_tile_4x4", 0.919, 1.514, 0.609, 0.824, 2.959, 0.599, 0.638, 0.421, 0.269, 0.959
7, "mp_tile_nxn_v1", 17.62, 4.49, 4.72, 15.27, 17.94, 2.262, 2.342, 2.299, 1.98, 5.68
8, "mp_tile_nxn_v2", 3.936, 2.821, 3.45, 3.346, 3.221, 1.48, 1.605, 1.653, 1.273, 6.43
9, "mp_tile_nxn_v3", 0.231, 0.837, 0.119, 0.204, 1.035, 0.202, 0.329, 0.233, 0.207, 1.398
