"number", "method" , AMD , Intel , Intel , Intel , Intel
,  , X6 , Core2 , i7 , i5 , i7
"number", "method" , 1090T , Q9300 , 860 , 3570K , 4790
1, "mp_reference", 147.13, 233.43, 124.51, 69.09, 60.24
2, "mp_inv_jk_O2", 9.55, 12.24, 30.76, 6.24, 4.67
3, "mp_inv_jk", 4.66, 7.77, 8.23, 2.363, 1.81
4, "mp_inv_jk_sse", 16.84, 28.89, 18.38, 4.32, 3.404
5, "mp_inv_jk_avx","N/A","N/A","N/A", 2.286, 1.723
6, "mp_tile_4x4", 20.16, 26.78, 11.68, 8.3, 6.28
7, "mp_tile_nxn_v1", 46.3, 132.96, 48.79, 19.19, 16
8, "mp_tile_nxn_v2", 32.64, 29.98, 35.18, 13.9, 11.61
9, "mp_tile_nxn_v3", 8.05, 8.33, 11.3, 2.749, 1.865
