"number", "method" , AMD , Intel , Intel , Intel , Intel
,  , X6 , Core2 , i7 , i5 , i7
"number", "method" , 1090T , Q9300 , 860 , 3570K , 4790
1, "1","N/A","N/A","N/A","N/A","N/A"
2, "2","N/A","N/A","N/A","N/A","N/A"
3, "9","N/A","N/A","N/A","N/A","N/A"
4, "10","N/A","N/A","N/A","N/A","N/A"
5, "11","N/A","N/A","N/A","N/A","N/A"
6, "12","N/A","N/A","N/A","N/A","N/A"
7, "13","N/A","N/A","N/A","N/A","N/A"
8, "14","N/A","N/A","N/A","N/A","N/A"
9, "17","N/A","N/A","N/A","N/A","N/A"
10, "18","N/A","N/A","N/A","N/A","N/A"
11, "24","N/A","N/A","N/A","N/A","N/A"
