"number", "method" , AMD , Intel , Intel , Intel , Intel , Intel , Intel , Intel , Intel , Intel
,  , Ryzen , Celeron , Core2 , i3 , i5 , i7 , i7 , i7 , i7 , Pentium-D
"number", "method" , 3600 , N3060 , Q9300 , 6100 , 7400 , 4790 , 4900MQ , 860 , 8700 , 925
1, "maxpars_c_O2", 38.6, 1.964, 2.437, 1.28, 1.336, 1.151, 1.211, 3.215, 1.085, 2.764
2, "maxpars_c_O3", 0.922, 0.346, 0.192, 0.03, 0.027, 0.03, 0.035, 0.131, 0.841, 0.317
3, "maxpars_asm", 40.46, 1.986, 2.4, 1.162, 1.247, 1.069, 1.186, 3.25, 0.972, 2.708
4, "maxpars_no_if_asm", 7.68, 1.08, 1.134, 0.24, 0.26, 0.269, 0.281, 1.448, 0.2, 1.069
5, "maxpars_sse2", 0.669, 0.099,"N/A", 0.02, 0.02, 0.025, 0.029, 0.08, 0.02,"N/A"
6, "maxpars_avx2", 0.422,"N/A","N/A", 0.01, 0.016, 0.012, 0.017,"N/A", 0.01,"N/A"
7, "maxpars_avx2_vpblendvb", 0.436,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
8, "maxpars_avx2_u2", 0.462,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
9, "maxpars_avx2_u4", 0.429,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
10, "maxpars_avx2_u4_vpblendvb", 0.45,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
11, "maxpars_avx2_u4_vpblendvb_nodep", 0.45,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
12, "maxpars_avx2_intrinsics", 0.428,"N/A","N/A", 0.01, 0.01, 0.012, 0.015,"N/A", 0.01,"N/A"
13, "maxpars_avx2_ez_ii", 0.438,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
