"number", "method" , AMD , AMD , Intel , Intel , Intel , Intel , Intel , Intel , Intel , Intel , Intel
,  , X6 , Ryzen , Celeron , Core2-Duo , Core2 , i3 , i3 , i5 , i7 , i7 , Pentium-D
"number", "method" , 1090T , 1700X , N3050 , P9500 , Q9300 , 2375M , 6100 , 7400 , 4790 , 4900MQ , 925
1, "u8_popcnt_reference", 1.267, 1.115, 2.769, 2.521, 3.308, 3.492, 1.011, 1.057, 1.04, 0.985, 2.764
2, "u8_popcnt_wegner", 0.989, 1.028, 1.793, 1.747, 2.248, 2.281, 1.076, 1.089, 0.946, 0.93, 2.167
3, "u32_popcnt_wegner", 0.566, 0.539, 0.82, 0.734, 0.989, 1.326, 0.4, 0.41, 0.353, 0.378, 0.879
4, "u8_popcnt_shift_v1", 0.068, 0.056, 0.269, 0.1, 0.138, 0.128, 0.03, 0.031, 0.03, 0.03, 0.27
5, "u32_popcnt_shift_v1", 0.041, 0.02, 0.078, 0.04, 0.051, 0.05, 0.001, 0.009, 0.01, 0.01, 0.12
6, "u8_popcnt_shift_v2", 0.066, 0.06, 0.277, 0.089, 0.116, 0.125, 0.03, 0.034, 0.03, 0.031, 0.278
7, "u32_popcnt_shift_v2", 0.032, 0.019, 0.07, 0.036, 0.043, 0.042, 0.001, 0.008, 0.005, 0.009, 0.1
8, "u32_popcnt_table_v1", 0.144, 0.081, 0.351, 0.199, 0.205, 0.21, 0.06, 0.091, 0.08, 0.09, 0.203
9, "u32_popcnt_table_v2", 0.077, 0.048, 0.176, 0.08, 0.103, 0.109, 0.04, 0.038, 0.038, 0.038, 0.156
10, "u8_asm_popcnt", 0.154, 0.059, 0.289,"N/A","N/A", 0.18, 0.06, 0.054, 0.05, 0.05,"N/A"
11, "u32_asm_popcnt", 0.033, 0.014, 0.049,"N/A","N/A", 0.048, 0.01, 0.01, 0.01, 0.01,"N/A"
12, "u32_asm_popcnt_ur2", 0.021, 0.011, 0.04,"N/A","N/A", 0.04, 0.001, 0.01, 0.009, 0.01,"N/A"
13, "u32_asm_popcnt_ur4", 0.019, 0.01, 0.037,"N/A","N/A", 0.035, 0.009, 0.01, 0.008, 0.01,"N/A"
14, "u64_asm_popcnt", 0.018, 0.01, 0.028,"N/A","N/A", 0.029, 0, 0, 0, 0.007,"N/A"
15, "u64_asm_popcnt_ur2", 0.012, 0.01, 0.021,"N/A","N/A", 0.019, 0, 0, 0.001, 0.004,"N/A"
16, "u64_asm_popcnt_ur4", 0.01, 0.005, 0.019,"N/A","N/A", 0.02, 0, 0, 0.002, 0.002,"N/A"
17, "u32_sse_popcnt", 0.018, 0.01, 0.035,"N/A","N/A", 0.038, 0.01, 0.01, 0.01, 0.01,"N/A"
18, "u32_avx2_popcnt","N/A", 0.01,"N/A","N/A","N/A","N/A", 0.01, 0.01, 0.318, 0.339,"N/A"
19, "u8_popcnt_intrinsics", 0.022, 0.01, 0.04, 0.028, 0.031, 0.03, 0.001, 0.006, 0.01, 0.01, 0.079
